site	barrier	geod	envd
KA_KB	0	20	0.114220267
KA_QB	0	359	2.336321741
KA_QA	0	377	1.851955419
KA_QC	0	562	3.161619161
KA_WC	0	641	2.783731204
KA_DH	0	728	4.441600653
KA_RG	0	737	4.501269118
KA_SB	0	671	3.153153103
KA_RK	0	789	3.347105717
KA_MB	1	815	3.360640246
KA_FD	1	916	3.247883203
KA_TA	1	1188	3.61708373
KA_TB	1	1199	3.619774967
KB_QB	0	356	2.282270906
KB_QA	0	372	1.823579203
KB_QC	0	558	3.142532343
KB_WC	0	637	2.757074145
KB_DH	0	725	4.400404439
KB_RG	0	736	4.456026046
KB_SB	0	670	3.081553214
KB_RK	0	791	3.255439647
KB_MB	1	817	3.249858461
KB_FD	1	920	3.136850859
KB_TA	1	1191	3.503119432
KB_TB	1	1202	3.505797242
QB_QA	0	36	0.685227479
QB_QC	0	206	1.213603672
QB_WC	0	285	0.796347262
QB_DH	0	370	2.148746689
QB_RG	0	388	2.187038805
QB_SB	0	323	0.947462219
QB_RK	0	478	1.557935841
QB_MB	1	510	2.444369664
QB_FD	1	614	2.38599579
QB_TA	1	884	3.045054288
QB_TB	1	896	3.051183343
QA_QC	0	191	1.329805442
QA_WC	0	268	0.93357288
QA_DH	0	359	2.605451755
QA_RG	0	384	2.679015483
QA_SB	0	322	1.632208179
QA_RK	0	488	2.20104397
QA_MB	1	523	2.916796466
QA_FD	1	628	2.840223022
QA_TA	1	898	3.457964711
QA_TB	1	909	3.463480334
QC_WC	0	92	0.430917245
QC_DH	0	257	1.473824925
QC_RG	0	312	1.601628235
QC_SB	0	270	1.580598022
QC_RK	0	468	2.408474327
QC_MB	1	517	3.532495686
QC_FD	1	620	3.492938928
QC_TA	1	891	4.169479609
QC_TB	1	903	4.175958934
WC_DH	0	201	1.715482998
WC_RG	0	271	1.812105968
WC_SB	0	246	1.334135988
WC_RK	0	446	2.129699245
WC_MB	1	501	3.180574667
WC_FD	1	606	3.133115215
WC_TA	1	876	3.803948539
WC_TB	1	888	3.810284047
DH_RG	0	80	0.179814057
DH_SB	0	100	1.732396308
DH_RK	0	266	2.398282032
DH_MB	1	326	3.688798761
DH_FD	1	431	3.696191331
DH_TA	1	700	4.350251919
DH_TB	1	712	4.35713701
RG_SB	0	67	1.69316785
RG_RK	0	186	2.314653754
RG_MB	1	246	3.603823138
RG_FD	1	350	3.616307208
RG_TA	1	620	4.262403608
RG_TB	1	632	4.269284175
SB_RK	0	201	0.833203264
SB_MB	1	255	2.050069258
SB_FD	1	360	2.035070116
SB_TA	1	629	2.711226923
SB_TB	1	641	2.718020194
RK_MB	1	62	1.29055631
RK_FD	1	164	1.302074599
RK_TA	1	436	1.952313449
RK_TB	1	447	1.959197861
MB_FD	0	103	0.116750975
MB_TA	0	374	0.664082334
MB_TB	0	386	0.670944472
FD_TA	0	306	0.679888501
FD_TB	0	319	0.686554064
TA_TB	0	13	0.006885092
