pos	gpos	p1	ihh1	p2	ihh2	xpehh	normxpehh	crit
scaffold100_7017	7017	7017	0.35	17578.9	0.4	14237.1	0.210852	-0.0602356	0
scaffold100_7290	7290	7290	0.25	22797.2	0.275	17753.5	0.250058	0.0314902	0
scaffold100_186436	186436	186436	0.225	26767	0.175	26663.4	0.00387706	-0.544471	0
scaffold100_186458	186458	186458	0	26837.7	0.1	25990.6	0.0320718	-0.478507	0
scaffold100_186700	186700	186700	0.425	21301.4	0.225	24032.9	-0.120652	-0.835818	0
scaffold100_186716	186716	186716	0.075	23885.4	0.025	28156.8	-0.164521	-0.938453	0
scaffold100_186750	186750	186750	0.15	24816.7	0.1	29022.1	-0.156542	-0.919786	0
scaffold100_196403	196403	196403	0.075	25695.6	0.05	30208.7	-0.16181	-0.932111	0
scaffold100_196438	196438	196438	0.65	23416.7	0.45	27300.8	-0.153467	-0.912592	0
scaffold100_196482	196482	196482	0.65	23416.7	0.45	27300.8	-0.153467	-0.912592	0
scaffold100_196487	196487	196487	0.425	23090.8	0.125	26327.2	-0.131166	-0.860416	0
scaffold100_196709	196709	196709	0.675	32050.8	0.45	30462.6	0.0508206	-0.434643	0
scaffold100_364230	364230	364230	0.2	43759.3	0.05	48133.3	-0.0952703	-0.776435	0
scaffold100_480115	480115	480115	0	54437.4	0.3	36806.7	0.391373	0.362109	0
scaffold100_559184	559184	559184	0.075	48262.5	0.05	38524.6	0.225359	-0.0262952	0
scaffold100_559191	559191	559191	0.025	45761	0.15	28996	0.456276	0.513955	0
scaffold100_559197	559197	559197	0.025	45761	0.225	24420.1	0.628024	0.915775	0
scaffold100_559218	559218	559218	0.575	26539.6	0.2	19773.7	0.294284	0.134961	0
scaffold100_559242	559242	559242	0.075	26558.3	0.05	20364.7	0.265539	0.0677094	0
scaffold100_559252	559252	559252	0.35	25614.1	0.325	16299.1	0.45203	0.504021	0
scaffold100_559449	559449	559449	0.65	25350.3	0.125	20008.7	0.236622	5.55363e-05	0
scaffold100_559484	559484	559484	0.25	17367.3	0	21282.1	-0.203275	-1.02912	0
scaffold100_559506	559506	559506	0.275	23821.8	0.475	20161.2	0.166837	-0.163213	0
scaffold100_567565	567565	567565	0.125	29861.6	0.075	31572	-0.0556978	-0.683852	0
scaffold100_567655	567655	567655	0.05	29764.4	0.075	31572	-0.0589575	-0.691478	0
scaffold100_567776	567776	567776	0.125	30014.1	0.075	31572	-0.0506051	-0.671937	0
scaffold100_567832	567832	567832	0.125	27818.2	0.025	30636	-0.0964822	-0.779271	0
scaffold100_567851	567851	567851	0.125	33390.6	0.075	31936.1	0.0445378	-0.449342	0
scaffold100_567857	567857	567857	0.075	37789.2	0.025	33017	0.134999	-0.2377	0
scaffold100_603016	603016	603016	0	41669.4	0.1	31198.5	0.289395	0.123523	0
scaffold100_603063	603063	603063	0.025	40518.5	0.15	25175.6	0.475884	0.55983	0
scaffold100_603064	603064	603064	0.025	40518.5	0.15	25175.6	0.475884	0.55983	0
scaffold100_603065	603065	603065	0	39770.9	0.225	17582.1	0.816257	1.35616	0
scaffold100_603319	603319	603319	0.55	26492.2	0.475	15727.3	0.521453	0.666442	0
scaffold100_631054	631054	631054	0.05	37745.2	0.35	18230.2	0.727781	1.14916	0
scaffold100_631079	631079	631079	0.05	37745.2	0.125	18701.2	0.702273	1.08949	0
scaffold100_631214	631214	631214	0.05	37745.2	0.1	19410.4	0.665053	1.00241	0
scaffold100_631244	631244	631244	0	38466.3	0.1	22106.3	0.553921	0.742404	0
scaffold100_640017	640017	640017	0.6	24669.6	0.125	21132	0.154783	-0.191414	0
scaffold100_641602	641602	641602	0.05	31257.4	0.2	19493.6	0.472166	0.551131	0
scaffold100_641784	641784	641784	0.05	31257.4	0.125	20740.6	0.410163	0.40607	0
scaffold100_650520	650520	650520	0.05	30366.5	0.175	18753	0.481985	0.574104	0
