chr	snpid	pos	gpos	p1	ihh1	p2	ihh2	xpehh	normxpehh	crit
1	scaffold1_69640	69640	69640	0.075	8136.9	0.075	7848.99	0.0360241	-0.469261	0
1	scaffold1_69654	69654	69654	0.1	10806.2	0.025	9124.62	0.169143	-0.157817	0
1	scaffold1_69659	69659	69659	0.475	12187.7	0.45	9234.79	0.277448	0.0955715	0
1	scaffold1_69680	69680	69680	0.05	19802	0.2	9238.26	0.76243	1.23023	0
1	scaffold1_69684	69684	69684	0.05	19802	0.2	9238.26	0.76243	1.23023	0
1	scaffold1_69689	69689	69689	0.3	20435.4	0.45	9241.59	0.793553	1.30304	0
1	scaffold1_69690	69690	69690	0.025	37793.3	0.125	14486.2	0.958937	1.68997	0
1	scaffold1_69906	69906	69906	0.05	38223.4	0.125	17873.1	0.76015	1.22489	0
1	scaffold1_69912	69912	69912	0.075	40451	0.125	22456.1	0.588529	0.823373	0
1	scaffold1_238403	238403	238403	0.075	41431.9	0.1	26366.2	0.451969	0.503879	0
1	scaffold1_238429	238429	238429	0.175	39716	0.35	20383	0.667055	1.00709	0
1	scaffold1_238442	238442	238442	0.075	39664.9	0.025	20393.2	0.665266	1.00291	0
1	scaffold1_238647	238647	238647	0.075	39664.9	0.125	20140.8	0.677716	1.03203	0
1	scaffold1_238695	238695	238695	0.1	39628.1	0.175	20101	0.678771	1.0345	0
1	scaffold1_238696	238696	238696	0.075	39626.8	0.025	21524.4	0.610316	0.874345	0
1	scaffold1_238716	238716	238716	0.175	40152.1	0.35	22255.9	0.59007	0.826978	0
1	scaffold1_344524	344524	344524	0.025	47170.6	0.125	27550.4	0.537753	0.704578	0
1	scaffold1_344531	344531	344531	0.175	40280.2	0.35	20476	0.676607	1.02944	0
1	scaffold1_344614	344614	344614	0.025	40538.7	0.125	23072.3	0.563624	0.765105	0
1	scaffold1_344777	344777	344777	0.1	37614.5	0.1	21030.8	0.581402	0.806698	0
1	scaffold1_344822	344822	344822	0.1	43049.3	0.075	24074	0.581214	0.806258	0
1	scaffold1_344830	344830	344830	0.025	46960.9	0.125	25407.3	0.614279	0.883617	0
1	scaffold1_347659	347659	347659	0.15	43065.6	0.15	29599	0.374983	0.323763	0
1	scaffold1_347714	347714	347714	0.05	54947.2	0.05	38894	0.345532	0.25486	0
1	scaffold1_383860	383860	383860	0.175	50410.3	0.125	36950.2	0.310625	0.173192	0
1	scaffold1_383862	383862	383862	0.175	50410.3	0.125	36950.2	0.310625	0.173192	0
1	scaffold1_383883	383883	383883	0.025	50318.3	0.075	35741.4	0.342057	0.24673	0
1	scaffold1_384079	384079	384079	0	53445.9	0.15	32692.8	0.491516	0.596402	0
1	scaffold1_384132	384132	384132	0.175	52299.7	0.2	31599.4	0.503854	0.625268	0
1	scaffold1_384146	384146	384146	0.125	54085.8	0.05	43603.7	0.215431	-0.0495227	0
1	scaffold1_415453	415453	415453	0	62091.8	0.175	43237.1	0.361915	0.293189	0
1	scaffold1_415481	415481	415481	0	62091.8	0.175	43237.1	0.361915	0.293189	0
1	scaffold1_415498	415498	415498	0	62091.8	0.175	43237.1	0.361915	0.293189	0
1	scaffold1_415757	415757	415757	0.15	57053.2	0.025	42423.4	0.296283	0.139638	0
1	scaffold1_415793	415793	415793	0	68127	0.175	43703.2	0.443953	0.485124	0
1	scaffold1_463252	463252	463252	0.125	60280.6	0.125	44061.2	0.313432	0.179759	0
1	scaffold1_565245	565245	565245	0.4	40757.6	0.35	27967.7	0.376593	0.32753	0
1	scaffold1_565271	565271	565271	0.45	32664.9	0.15	20005.3	0.490305	0.593569	0
1	scaffold1_565286	565286	565286	0.4	35463.7	0.325	21518.1	0.499617	0.615355	0
1	scaffold1_565322	565322	565322	0	40900.6	0.15	17257.6	0.862893	1.46527	0
1	scaffold1_565370	565370	565370	0.275	33998	0.35	15366	0.794142	1.30442	0
1	scaffold1_565371	565371	565371	0.275	33998	0.35	15366	0.794142	1.30442	0
1	scaffold1_565384	565384	565384	0.7	32155.8	0.475	12786.6	0.922191	1.604	0
1	scaffold1_565409	565409	565409	0.275	32171	0.35	13932.6	0.836836	1.40431	0
1	scaffold1_565411	565411	565411	0.275	32171	0.35	13932.6	0.836836	1.40431	0
1	scaffold1_565412	565412	565412	0.275	32171	0.35	13932.6	0.836836	1.40431	0
1	scaffold1_565417	565417	565417	0.175	31509	0.125	12990.1	0.886084	1.51953	0
1	scaffold1_565419	565419	565419	0.025	31729.5	0.1	12643.9	0.920075	1.59905	0
1	scaffold1_565571	565571	565571	0	31734.6	0.1	12307	0.947238	1.6626	0
1	scaffold1_565599	565599	565599	0.275	31664.8	0.35	13869.9	0.825485	1.37775	0
1	scaffold1_565600	565600	565600	0.025	31663.2	0.1	13859.9	0.826152	1.37931	0
1	scaffold1_565610	565610	565610	0.275	31661.3	0.35	13858.6	0.826188	1.3794	0
1	scaffold1_565612	565612	565612	0.175	31629.4	0.125	13848.2	0.825934	1.3788	0
1	scaffold1_565614	565614	565614	0.025	42275	0.1	16896.1	0.917111	1.59212	0
1	scaffold1_565623	565623	565623	0.025	42275	0.1	16896.1	0.917111	1.59212	0
1	scaffold1_565632	565632	565632	0.275	42270.8	0.35	18438.7	0.829645	1.38748	0
1	scaffold1_565637	565637	565637	0.275	42422.2	0.35	18878.1	0.809667	1.34074	0
1	scaffold1_565640	565640	565640	0.025	42422.6	0.1	18876.3	0.809775	1.341	0
1	scaffold1_565641	565641	565641	0.3	42525.8	0.45	19529.9	0.778166	1.26704	0
1	scaffold1_568232	568232	568232	0.3	52543.2	0.3	28156.1	0.623872	0.906061	0
1	scaffold1_568832	568832	568832	0.275	55123	0.275	30210.2	0.601389	0.85346	0
