SITE	POS	GULF	OUT
PAG	-186283	0.941176	0.133333
PAG	-186273	0.941176	0.133333
PAG	-129187	0.941176	0.133333
PAG	-128991	0.941176	0.133333
PAG	-91348	1	0.133333
PAG	-91275	1	0.133333
PAG	-69680	1	0.2
PAG	-69418	1	0.2
PAG	-66516	1	0.466667
PAG	-66514	1	0.466667
PAG	-43285	1	0.466667
PAG	-10	1	0.466667
PAG	0	1	1
PAG	113	1	0.466667
PAG	120	1	0.266667
PAG	47543	1	0.266667
PAG	47553	0.941176	0.266667
PAG	47621	0.941176	0.266667
PAG	56031	0.941176	0.266667
PAG	56212	0.941176	0.266667
PAG	56287	0.941176	0.266667
PAG	128652	0.884135	0.2
PAG	143019	0.884135	0.2
PAG	181864	0.884135	0.2
GO	-186396	0.166667	0.493651
GO	-129300	0.166667	0.493651
GO	-129104	0.166667	0.493651
GO	-91461	0.166667	0.493651
GO	-91388	0.166667	0.493651
GO	-69793	0.166667	0.493651
GO	-69531	0.166667	0.512698
GO	-66629	0.166667	0.512698
GO	-66627	0.166667	0.592063
GO	-43398	0.5	0.677778
GO	-123	0.5	0.677778
GO	-113	0.5	1
GO	0	1	1
GO	7	1	1
GO	47430	0.5	0.644444
GO	47440	0.5	0.644444
GO	47508	0.5	0.644444
GO	55918	0.5	0.561905
GO	56099	0.166667	0.561905
GO	56174	0.166667	0.542857
GO	128539	0.166667	0.528571
GO	142906	0.166667	0.525397
GO	181751	0.166667	0.525397
GO	191379	0.166667	0.519048
GO	197413	0.166667	0.27619
